ring_sign,rec_gain,tau,in_gain,cue_gain,loss,slope
-1.0,0.5,10.0,30.0,3.0,0.6568102970719337,-0.17377414716499714
-1.0,0.5,10.0,30.0,10.0,0.6553257629275322,-0.17198670959013782
-1.0,1.0,2.0,1.0,3.0,0.8603743642568589,-1.0467705831221976
-1.0,1.0,2.0,1.0,10.0,0.8611144632101059,-1.045804991785985
-1.0,1.0,2.0,3.0,3.0,0.8727007225155831,-1.5658332136335946
-1.0,1.0,2.0,3.0,10.0,0.873168034851551,-1.8279339017031164
-1.0,1.0,2.0,10.0,3.0,0.9038770347833633,-1.4999532035410699
-1.0,1.0,2.0,10.0,10.0,0.9043909937143326,-1.2266480284148236
-1.0,1.0,2.0,30.0,3.0,0.9358880430459976,2.0239632368871923
-1.0,1.0,2.0,30.0,10.0,0.936414098739624,2.0248569321204504
-1.0,1.0,5.0,1.0,3.0,0.6985276583582163,-0.3751199351185654
-1.0,1.0,5.0,1.0,10.0,0.6973506793379783,-0.37290282447266354
-1.0,1.0,5.0,3.0,3.0,0.7366773754358291,-0.5439769266215857
-1.0,1.0,5.0,3.0,10.0,0.7356362625956535,-0.5418259478803925
-1.0,1.0,5.0,10.0,3.0,0.7049307391047478,-0.41156814071493714
-1.0,1.0,5.0,10.0,10.0,0.703733466565609,-0.5012079167473517
-1.0,1.0,5.0,30.0,3.0,0.745801393687725,-0.38992769832886637
-1.0,1.0,5.0,30.0,10.0,0.7446964889764786,-0.3884905824550109
-1.0,1.0,10.0,1.0,3.0,0.5005805216729641,0.018711637344340948
-1.0,1.0,10.0,1.0,10.0,0.4988812807947397,0.023804488171537505
-1.0,1.0,10.0,3.0,3.0,0.535835849493742,-0.004063318355102326
-1.0,1.0,10.0,3.0,10.0,0.5343287698924541,-0.00010483410751848029
-1.0,1.0,10.0,10.0,3.0,0.58208177536726,-0.037864544437267084
-1.0,1.0,10.0,10.0,10.0,0.580531469732523,-0.034643561469085295
-1.0,1.0,10.0,30.0,3.0,0.5906031295657158,-0.05776247769446922
-1.0,1.0,10.0,30.0,10.0,0.5893802769482136,-0.05515519158494989
-1.0,2.0,2.0,1.0,3.0,0.7946888945996762,-0.161104228248232
-1.0,2.0,2.0,1.0,10.0,0.7946447100490331,-0.13414318453351168
-1.0,2.0,2.0,3.0,3.0,0.7856455780565739,-0.16255364570740685
-1.0,2.0,2.0,3.0,10.0,0.7856738716363907,-0.1361228660821251
-1.0,2.0,2.0,10.0,3.0,0.8122247781604528,-0.6221188643730081
-1.0,2.0,2.0,10.0,10.0,0.8129915595054626,-0.6008950632640313
-1.0,2.0,2.0,30.0,3.0,0.8249320987612009,-0.30668439001586384
-1.0,2.0,2.0,30.0,10.0,0.8265747927129269,-0.14333345067095812
-1.0,2.0,5.0,1.0,3.0,0.697585953772068,-0.036030502036472435
-1.0,2.0,5.0,1.0,10.0,0.7002813056111336,-0.03290541687668594
-1.0,2.0,5.0,3.0,3.0,0.6837918650358915,-0.03568459231349502
-1.0,2.0,5.0,3.0,10.0,0.6864306159317494,-0.03317220809812789
-1.0,2.0,5.0,10.0,3.0,0.689441318437457,0.05552990693397407
-1.0,2.0,5.0,10.0,10.0,0.6946627341210843,0.05949223424641219
-1.0,2.0,5.0,30.0,3.0,0.5819605108350515,-0.247502233622802
