ring_sign,rec_gain,tau,in_gain,cue_gain,loss,slope
1.0,2.0,20.0,100.0,10.0,0.7713721504434943,-0.1535701463274856
1.0,4.0,2.0,1.0,10.0,1.181660309433937,-0.054082575160174014
1.0,4.0,2.0,3.0,10.0,1.1816648855805396,-0.05414984234195891
1.0,4.0,2.0,10.0,10.0,1.1819396421313286,-0.05917708666972601
1.0,4.0,2.0,30.0,10.0,1.1829143777489661,-0.06848944342015453
1.0,4.0,2.0,100.0,10.0,1.1823605917394162,-0.06917533780332391
1.0,4.0,5.0,1.0,10.0,1.157288347184658,-0.17427291700007705
1.0,4.0,5.0,3.0,10.0,1.1593919210135937,-0.13721411054135785
1.0,4.0,5.0,10.0,10.0,1.1605766616761684,-0.12467030615209815
1.0,4.0,5.0,30.0,10.0,1.1607640519738198,-0.16053003538256053
1.0,4.0,5.0,100.0,10.0,1.159917026013136,-0.16408242567203918
1.0,4.0,10.0,1.0,10.0,1.0549276016652585,-0.37346731850266657
1.0,4.0,10.0,3.0,10.0,1.0604514233767985,-0.36953034017714853
1.0,4.0,10.0,10.0,10.0,1.066127037256956,-0.3641151352199273
1.0,4.0,10.0,30.0,10.0,1.0690638884902,-0.3622170115503591
1.0,4.0,10.0,100.0,10.0,1.0687576182186604,-0.3630337583981219
1.0,4.0,20.0,1.0,10.0,0.8987436994910241,-0.34662906401538596
1.0,4.0,20.0,3.0,10.0,0.9070194698870182,-0.3482330655033029
1.0,4.0,20.0,10.0,10.0,0.9163287123665214,-0.34615855042145466
1.0,4.0,20.0,30.0,10.0,0.9186591556295752,-0.3427756696239936
1.0,4.0,20.0,100.0,10.0,0.9186782274395228,-0.3412666519080644
1.0,8.0,2.0,1.0,10.0,1.1810082346200943,-0.07282178760070307
1.0,8.0,2.0,3.0,10.0,1.1810078747570514,-0.07282900441897242
1.0,8.0,2.0,10.0,10.0,1.1810082033276559,-0.07282664085358577
1.0,8.0,2.0,30.0,10.0,1.1810440048575401,-0.07246398488236398
1.0,8.0,2.0,100.0,10.0,1.1811258286237716,-0.07242952727194384
1.0,8.0,5.0,1.0,10.0,1.167941252887249,-0.11909335431827464
1.0,8.0,5.0,3.0,10.0,1.168418174982071,-0.1134045678972208
1.0,8.0,5.0,10.0,10.0,1.1688622690737247,-0.11144493996037644
1.0,8.0,5.0,30.0,10.0,1.1690886534750462,-0.11183418131311713
1.0,8.0,5.0,100.0,10.0,1.1692293398082256,-0.1118030857227321
1.0,8.0,10.0,1.0,10.0,1.100883999466896,-0.32318215364823777
1.0,8.0,10.0,3.0,10.0,1.1057905577123166,-0.3086598376091524
1.0,8.0,10.0,10.0,10.0,1.1125236324965955,-0.2898798200187217
1.0,8.0,10.0,30.0,10.0,1.116035918146372,-0.28975645143784656
1.0,8.0,10.0,100.0,10.0,1.117258007079363,-0.29013030141780094
1.0,8.0,20.0,1.0,10.0,0.9703803176060319,-0.35762751493325046
1.0,8.0,20.0,3.0,10.0,0.9811414886265993,-0.35588999960732354
1.0,8.0,20.0,10.0,10.0,0.9941370896995068,-0.35220378438619987
1.0,8.0,20.0,30.0,10.0,1.0004397232085467,-0.3515302048858734
1.0,8.0,20.0,100.0,10.0,1.0026230603456496,-0.35176815404614437
1.0,16.0,2.0,1.0,10.0,1.1812287271022797,-0.07414158684078856
1.0,16.0,2.0,3.0,10.0,1.1812291264533996,-0.07413421176341004
1.0,16.0,2.0,10.0,10.0,1.1812294922769069,-0.07412529117794844
1.0,16.0,2.0,30.0,10.0,1.1812353938817979,-0.07397233413825724
1.0,16.0,2.0,100.0,10.0,1.1814872458577157,-0.06671991142883325
1.0,16.0,5.0,1.0,10.0,1.1706876747310162,-0.09601381658565275
