label,held_out_loss,slope,anchor_err_deg,n_epochs,seed,hold_prob,sign_reg,anchor,max_av,ring_source,ring_sign,activation,type_params,real_sign_control,control_shuffle_seed,control_swap_fraction,control_type_mask,frac_edges_changed,recurrent_gain,tau,in_gain,cue_gain,mean_abs_sign,frac_polarized_gt_0.9
types_mask0_p,0.4850674187143644,-0.010835207667762097,3.2274833751042773,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,0.0,0.3106986899563319,2.0,10.0,10.0,10.0,1.0,1.0
types_mask10_p,0.0747507452343901,0.8948221850640858,6.2850279630938095,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,10.0,0.7664847161572053,2.0,10.0,10.0,10.0,1.0,1.0
types_mask11_p,0.09493773368497689,0.8324737612786952,6.779307095936139,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,11.0,0.4557860262008734,2.0,10.0,10.0,10.0,1.0,1.0
types_mask12_p,0.47961242919166885,-0.018957054492280887,3.342104849887653,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,12.0,0.39170305676855893,2.0,10.0,10.0,10.0,1.0,1.0
types_mask13_p,0.07112081417193016,0.8411086130150972,5.17259849652754,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,13.0,0.08100436681222707,2.0,10.0,10.0,10.0,1.0,1.0
types_mask14_p,0.5072250387320916,-0.04690475564800111,3.2417863286145403,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,14.0,0.7830786026200873,2.0,10.0,10.0,10.0,1.0,1.0
types_mask15_p,0.48569819728533425,-0.020839174496817277,3.649213071679047,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,15.0,0.47237991266375545,2.0,10.0,10.0,10.0,1.0,1.0
types_mask16_p,0.5031955150266488,-0.04433219926724431,3.273023576684984,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,16.0,0.4244541484716157,2.0,10.0,10.0,10.0,1.0,1.0
types_mask17_p,0.13423731879641612,0.813561728588026,5.661986737233855,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,17.0,0.11375545851528385,2.0,10.0,10.0,10.0,1.0,1.0
types_mask18_p,0.10723734920223554,0.7699784423808862,6.216167322788284,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,18.0,0.8158296943231441,2.0,10.0,10.0,10.0,1.0,1.0
types_mask19_p,0.07981163064638773,0.8661900653323503,6.99021831447118,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,19.0,0.5051310043668122,2.0,10.0,10.0,10.0,1.0,1.0
types_mask20_p,0.5016653418540955,-0.013697761356473187,3.6592260765307807,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,20.0,0.4410480349344978,2.0,10.0,10.0,10.0,1.0,1.0
types_mask21_p,0.1528380375355482,0.6948746641223964,8.63644321611477,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,21.0,0.13034934497816594,2.0,10.0,10.0,10.0,1.0,1.0
types_mask22_p,0.13321353296438854,0.8195250964275916,6.096390983954043,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,22.0,0.8324235807860262,2.0,10.0,10.0,10.0,1.0,1.0
types_mask23_p,0.07696916591376066,0.8650833755222931,7.96245646923477,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,23.0,0.5217248908296943,2.0,10.0,10.0,10.0,1.0,1.0
types_mask24_p,0.4575859308242798,-0.000309940440207869,3.601457053344937,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,24.0,0.4888646288209607,2.0,10.0,10.0,10.0,1.0,1.0
types_mask25_p,0.10151318063338598,0.8739859690315133,4.916922854945079,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,25.0,0.1781659388646288,2.0,10.0,10.0,10.0,1.0,1.0
types_mask26_p,0.08103652726858854,0.8360419098973935,6.072011762076545,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,26.0,0.880240174672489,2.0,10.0,10.0,10.0,1.0,1.0
types_mask27_p,0.0665038234864672,0.8298029840573986,9.28404454825005,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,27.0,0.5695414847161572,2.0,10.0,10.0,10.0,1.0,1.0
types_mask28_p,0.48752772305160763,-0.0010026864638797714,3.692847786773832,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,28.0,0.5054585152838428,2.0,10.0,10.0,10.0,1.0,1.0
types_mask29_p,0.1444380603109797,1.064633281580824,5.93106910100604,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,29.0,0.1947598253275109,2.0,10.0,10.0,10.0,1.0,1.0
types_mask2_p,0.0631974828739961,0.915645501843119,8.157382167183316,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,2.0,0.7020742358078602,2.0,10.0,10.0,10.0,1.0,1.0
types_mask30_p,0.10000635820130507,0.8627491591657087,6.392898460447584,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,30.0,0.8968340611353712,2.0,10.0,10.0,10.0,1.0,1.0
types_mask31_p,0.06369678247720004,0.9008302871090343,8.090076560403928,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,31.0,0.5861353711790394,2.0,10.0,10.0,10.0,1.0,1.0
types_mask32_p,0.45830765962600706,0.013655146476682213,3.43013745233135,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,32.0,0.4138646288209607,2.0,10.0,10.0,10.0,1.0,1.0
types_mask33_p,0.4807494958241781,-0.0029739542497739945,5.6149647076587526,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,33.0,0.10316593886462883,2.0,10.0,10.0,10.0,1.0,1.0
types_mask34_p,0.45634310555954777,0.013750288270175794,3.403091987848753,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,34.0,0.8052401746724891,2.0,10.0,10.0,10.0,1.0,1.0
